eBird English Name,eBird Scientific Name,India,Subcontinent,Mainland India,Western Ghats,Southern Andhra Pradesh,Southern Deccan Plateau,Central India,Western Himalayas,Eastern Himalayas,Himalayas,Assam Plains,Indus Plains,Northern Myanmar Lowlands,Andaman and Nicobar islands
Spotted Elachura,Elachura formosa,,,,,,,,,,,,,,
Bohemian Waxwing,Bombycilla garrulus,,,,,,,,,,,,,,
Hypocolius,Hypocolius ampelinus,,,,,,,,,,,,,,
Rusty-flanked Treecreeper,Certhia nipalensis,,,,,,,,,,1,,,,
Sikkim Treecreeper,Certhia discolor,,,,,,,,,,1,,,,
Hume's Treecreeper,Certhia manipurensis,,,,,,,,,,,,,,
Bar-tailed Treecreeper,Certhia himalayana,,,,,,,,,,,,,,
Hodgson's Treecreeper,Certhia hodgsoni,,,,,,,,,,,,,,
Chestnut-vented Nuthatch,Sitta nagaensis,,,,,,,,,,,,,,
Kashmir Nuthatch,Sitta cashmirensis,,,,,,,,1,,1,,,,
Indian Nuthatch,Sitta castanea,,1,,,,,,,,,,,,
Chestnut-bellied Nuthatch,Sitta cinnamoventris,,,,,,,,,,,,,,
White-tailed Nuthatch,Sitta himalayensis,,,,,,,,,,1,,,,
Yunnan Nuthatch,Sitta yunnanensis,,,,,,,,,,,,,,
White-cheeked Nuthatch,Sitta leucopsis,,,,,,,,1,,1,,,,
Velvet-fronted Nuthatch,Sitta frontalis,,,,,,,,,,,,,,
Beautiful Nuthatch,Sitta formosa,,,,,,,,,,,,,,
Indian Spotted Creeper,Salpornis spilonota,1,1,,,,,1,,,,,,,
Wallcreeper,Tichodroma muraria,,,,,,,,,,,,,,
Eurasian Wren,Troglodytes troglodytes,,,,,,,,,,,,,,
European Starling,Sturnus vulgaris,,,,,,,,,,,,,,
Rosy Starling,Pastor roseus,,,,,,,,,,,,,,
Daurian Starling,Agropsar sturninus,,,,,,,,,,,,,,
Chestnut-cheeked Starling,Agropsar philippensis,,,,,,,,,,,,,,
Asian Pied Starling,Gracupica contra,,,,,,,,,,,,,,
Brahminy Starling,Sturnia pagodarum,,,,,,,,,,,,,,
Chestnut-tailed Starling,Sturnia malabarica,,,,,,,,,,,,,,
Malabar Starling,Sturnia blythii,1,1,1,1,,,,,,,,,,
White-headed Starling,Sturnia erythropygia,1,1,,,,,,,,,,,,1
White-cheeked Starling,Spodiopsar cineraceus,,,,,,,,,,,,,,
Common Myna,Acridotheres tristis,,,,,,,,,,,,,,
Bank Myna,Acridotheres ginginianus,,1,,,,,,,,,,,,
Jungle Myna,Acridotheres fuscus,,,,,,,,,,,,,,
Collared Myna,Acridotheres albocinctus,,,,,,,,,,,,,,
Great Myna,Acridotheres grandis,,,,,,,,,,,,,,
Spot-winged Starling,Saroglossa spilopterus,,,,,,,,,,,,,,
Southern Hill Myna,Gracula indica,,1,,,,,,,,,,,,
Common Hill Myna,Gracula religiosa,,,,,,,,,,,,,,
Golden-crested Myna,Ampeliceps coronatus,,,,,,,,,,,,,,
Asian Glossy Starling,Aplonis panayensis,,,,,,,,,,,,,,
White-throated Dipper,Cinclus cinclus,,,,,,,,,,,,,,
Brown Dipper,Cinclus pallasii,,,,,,,,,,,,,,
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,,,,,,,,,,,,,,
Indian Robin,Copsychus fulicatus,,1,,,,,,,,,,,,
Oriental Magpie-Robin,Copsychus saularis,,,,,,,,,,,,,,
White-rumped Shama,Copsychus malabaricus,,,,,,,,,,,,,,
Andaman Shama,Copsychus albiventris,1,1,,,,,,,,,,,,1
Spotted Flycatcher,Muscicapa striata,,,,,,,,,,,,,,
Dark-sided Flycatcher,Muscicapa sibirica,,,,,,,,,,,,,,
Asian Brown Flycatcher,Muscicapa dauurica,,,,,,,,,,,,,,
Brown-breasted Flycatcher,Muscicapa muttui,,,,,,,,,,,,,,
Ferruginous Flycatcher,Muscicapa ferruginea,,,,,,,,,,,,,,
Nilgiri Sholakili,Sholicola major,1,1,1,1,,,,,,,,,,
White-bellied Sholakili,Sholicola albiventris,1,1,1,1,,,,,,,,,,
Pale Blue Flycatcher,Cyornis unicolor,,,,,,,,,,,,,,
White-bellied Blue Flycatcher,Cyornis pallidipes,1,1,1,1,,,,,,,,,,
Pale-chinned Blue Flycatcher,Cyornis poliogenys,,,,,,,,,,,,,,
Large Blue Flycatcher,Cyornis magnirostris,,,,,,,,,,,,,,
Hill Blue Flycatcher,Cyornis banyumas,,,,,,,,,,,,,,
Tickell's Blue Flycatcher,Cyornis tickelliae,,1,,,,,,,,,,,,
Blue-throated Flycatcher,Cyornis rubeculoides,,,,,,,,,,,,,,
White-tailed Flycatcher,Cyornis concretus,,,,,,,,,,,,,,
Nicobar Jungle-Flycatcher,Cyornis nicobaricus,1,1,,,,,,,,,,,,1
White-gorgeted Flycatcher,Anthipes monileger,,,,,,,,,,,,,,
Rufous-bellied Niltava,Niltava sundara,,,,,,,,,,,,,,
Vivid Niltava,Niltava vivida,,,,,,,,,,,,,,
Large Niltava,Niltava grandis,,,,,,,,,,,,,,
Small Niltava,Niltava macgrigoriae,,,,,,,,,,,,,,
Blue-and-white Flycatcher,Cyanoptila cyanomelana,,,,,,,,,,,,,,
Zappey's Flycatcher,Cyanoptila cumatilis,,,,,,,,,,,,,,
Verditer Flycatcher,Eumyias thalassinus,,,,,,,,,,,,,,
Nilgiri Flycatcher,Eumyias albicaudatus,1,1,1,1,,,,,,,,,,
White-browed Shortwing,Brachypteryx montana,,,,,,,,,,,,,,
Lesser Shortwing,Brachypteryx leucophris,,,,,,,,,,,,,,
Rusty-bellied Shortwing,Brachypteryx hyperythra,,,,,,,,,1,1,,,,
Gould's Shortwing,Brachypteryx stellata,,,,,,,,,1,1,,,,
Indian Blue Robin,Larvivora brunnea,,,,,,,,,,,,,,
Siberian Blue Robin,Larvivora cyane,,,,,,,,,,,,,,
Bluethroat,Luscinia svecica,,,,,,,,,,,,,,
White-bellied Redstart,Luscinia phaenicuroides,,,,,,,,,,,,,,
Little Forktail,Enicurus scouleri,,,,,,,,,,,,,,
Black-backed Forktail,Enicurus immaculatus,,,,,,,,,,,,,,
Slaty-backed Forktail,Enicurus schistaceus,,,,,,,,,,,,,,
White-crowned Forktail,Enicurus leschenaulti,,,,,,,,,,,,,,
Spotted Forktail,Enicurus maculatus,,,,,,,,,,,,,,
Blue-fronted Robin,Cinclidium frontale,,,,,,,,,,,,,,
Malabar Whistling-Thrush,Myophonus horsfieldii,1,1,1,,,,,,,,,,,
Blue Whistling-Thrush,Myophonus caeruleus,,,,,,,,,,,,,,
Firethroat,Calliope pectardens,,,,,,,,,,,,,,
Himalayan Rubythroat,Calliope pectoralis,,,,,,,,,,,,,,
Chinese Rubythroat,Calliope tschebaiewi,,,,,,,,,,,,,,
Siberian Rubythroat,Calliope calliope,,,,,,,,,,,,,,
White-tailed Robin,Myiomela leucura,,,,,,,,,,,,,,
White-browed Bush-Robin,Tarsiger indicus,,,,,,,,,,,,,,
Golden Bush-Robin,Tarsiger chrysaeus,,,,,,,,,,,,,,
Red-flanked Bluetail,Tarsiger cyanurus,,,,,,,,,,,,,,
Himalayan Bluetail,Tarsiger rufilatus,,,,,,,,,,,,,,
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,,,,,,,,,,1,,,,
Rusty-tailed Flycatcher,Ficedula ruficauda,,,,,,,,,,,,,,
Kashmir Flycatcher,Ficedula subrubra,,1,,,,,,,,,,,,
Red-breasted Flycatcher,Ficedula parva,,,,,,,,,,,,,,
Taiga Flycatcher,Ficedula albicilla,,,,,,,,,,,,,,
Snowy-browed Flycatcher,Ficedula hyperythra,,,,,,,,,,,,,,
Rufous-gorgeted Flycatcher,Ficedula strophiata,,,,,,,,,,,,,,
Ultramarine Flycatcher,Ficedula superciliaris,,,,,,,,,,,,,,
Little Pied Flycatcher,Ficedula westermanni,,,,,,,,,,,,,,
Mugimaki Flycatcher,Ficedula mugimaki,,,,,,,,,,,,,,
Yellow-rumped Flycatcher,Ficedula zanthopygia,,,,,,,,,,,,,,
Slaty-blue Flycatcher,Ficedula tricolor,,,,,,,,,,,,,,
Black-and-orange Flycatcher,Ficedula nigrorufa,1,1,1,1,,,,,,,,,,
Pygmy Flycatcher,Ficedula hodgsoni,,,,,,,,,,,,,,
Slaty-backed Flycatcher,Ficedula sordida,,,,,,,,,,,,,,
Sapphire Flycatcher,Ficedula sapphira,,,,,,,,,,,,,,
Rufous-backed Redstart,Phoenicurus erythronotus,,,,,,,,,,,,,,
Blue-fronted Redstart,Phoenicurus frontalis,,,,,,,,,,,,,,
Blue-capped Redstart,Phoenicurus coeruleocephala,,,,,,,,,,,,,,
White-throated Redstart,Phoenicurus schisticeps,,,,,,,,,,,,,,
White-capped Redstart,Phoenicurus leucocephalus,,,,,,,,,,,,,,
Plumbeous Redstart,Phoenicurus fuliginosus,,,,,,,,,,,,,,
Black Redstart,Phoenicurus ochruros,,,,,,,,,,,,,,
Common Redstart,Phoenicurus phoenicurus,,,,,,,,,,,,,,
Daurian Redstart,Phoenicurus auroreus,,,,,,,,,,,,,,
White-winged Redstart,Phoenicurus erythrogastrus,,,,,,,,,,,,,,
Hodgson's Redstart,Phoenicurus hodgsoni,,,,,,,,,,,,,,
Blue-capped Rock-Thrush,Monticola cinclorhyncha,,,,,,,,,,,,,,
Chestnut-bellied Rock-Thrush,Monticola rufiventris,,,,,,,,,,,,,,
Rufous-tailed Rock-Thrush,Monticola saxatilis,,,,,,,,,,,,,,
Blue Rock-Thrush,Monticola solitarius,,,,,,,,,,,,,,
White-browed Bushchat,Saxicola macrorhynchus,,1,,,,,,,,,,,,
White-throated Bushchat,Saxicola insignis,,,,,,,,,,,,,,
Siberian Stonechat,Saxicola maurus,,,,,,,,,,,,,,
White-tailed Stonechat,Saxicola leucurus,,,,,,,,,,,,,,
Pied Bushchat,Saxicola caprata,,,,,,,,,,,,,,
Jerdon's Bushchat,Saxicola jerdoni,,,,,,,,,,,,,,
Gray Bushchat,Saxicola ferreus,,,,,,,,,,,,,,
Northern Wheatear,Oenanthe oenanthe,,,,,,,,,,,,,,
Isabelline Wheatear,Oenanthe isabellina,,,,,,,,,,,,,,
Desert Wheatear,Oenanthe deserti,,,,,,,,,,,,,,
Pied Wheatear,Oenanthe pleschanka,,,,,,,,,,,,,,
Indian Chat,Cercomela fusca,,1,,,,,,,,,,,,
Finsch's Wheatear,Oenanthe finschii,,,,,,,,,,,,,,
Variable Wheatear,Oenanthe picata,,,,,,,,,,,,,,
Hume's Wheatear,Oenanthe albonigra,,,,,,,,,,,,,,
Red-tailed Wheatear,Oenanthe xanthoprymna,,,,,,,,,,,,,,
Grandala,Grandala coelicolor,,,,,,,,,,,,,,
Long-tailed Thrush,Zoothera dixoni,,,,,,,,,,,,,,
Alpine Thrush,Zoothera mollissima,,,,,,,,,,,,,,
Himalayan Thrush,Zoothera salimalii,,,,,,,,,,,,,,
Dark-sided Thrush,Zoothera marginata,,,,,,,,,,1,,,,
Long-billed Thrush,Zoothera monticola,,,,,,,,,,1,,,,
Scaly Thrush,Zoothera dauma,,,,,,,,,,,,,,
Nilgiri Thrush,Zoothera neilgherriensis,1,1,1,1,,,,,,,,,,
Purple Cochoa,Cochoa purpurea,,,,,,,,,,,,,,
Green Cochoa,Cochoa viridis,,,,,,,,,,,,,,
Siberian Thrush,Geokichla sibirica,,,,,,,,,,,,,,
Pied Thrush,Geokichla wardii,,1,,,,,,,,,,,,
Orange-headed Thrush,Geokichla citrina,,,,,,,,,,,,,,
Chinese Thrush,Otocichla mupinensis,,,,,,,,,,,,,,
Mistle Thrush,Turdus viscivorus,,,,,,,,,,,,,,
Song Thrush,Turdus philomelos,,,,,,,,,,,,,,
Gray-winged Blackbird,Turdus boulboul,,,,,,,,,,,,,,
Indian Blackbird,Turdus simillimus,,1,,,,,,,,,,,,
Black-breasted Thrush,Turdus dissimilis,,,,,,,,,,,,,,
Tickell's Thrush,Turdus unicolor,,1,,,,,,,,,,,,
Eyebrowed Thrush,Turdus obscurus,,,,,,,,,,,,,,
Gray-sided Thrush,Turdus feae,,,,,,,,,,,,,,
White-backed Thrush,Turdus kessleri,,,,,,,,,,,,,,
Tibetan Blackbird,Turdus maximus,,,,,,,,,,1,,,,
Fieldfare,Turdus pilaris,,,,,,,,,,,,,,
White-collared Blackbird,Turdus albocinctus,,,,,,,,,,1,,,,
Chestnut Thrush,Turdus rubrocanus,,,,,,,,,,,,,,
Dusky Thrush,Turdus eunomus,,,,,,,,,,,,,,
Naumann's Thrush,Turdus naumanni,,,,,,,,,,,,,,
Black-throated Thrush,Turdus atrogularis,,,,,,,,,,,,,,
Red-throated Thrush,Turdus ruficollis,,,,,,,,,,,,,,
