Time Bands,Frequency,SE,Species
2017,0.031558008,0.016930599,Streak-breasted Scimitar-Babbler
2018,0.033114157,0.017681129,Streak-breasted Scimitar-Babbler
before 2000,NA,NA,Streak-throated Barwing
2000-2006,NA,NA,Streak-throated Barwing
2007-2010,NA,NA,Streak-throated Barwing
2011-2012,NA,NA,Streak-throated Barwing
2013,NA,NA,Streak-throated Barwing
2014,0.0174409,0.008486529,Streak-throated Barwing
2015,0.01915296,0.00875449,Streak-throated Barwing
2016,0.023988388,0.011228521,Streak-throated Barwing
2017,0.020443714,0.009280596,Streak-throated Barwing
2018,0.027289177,0.012157194,Streak-throated Barwing
before 2000,0.04036954,0.004168488,Streak-throated Swallow
2000-2006,0.039684378,0.004082175,Streak-throated Swallow
2007-2010,0.033841717,0.003364293,Streak-throated Swallow
2011-2012,0.02605351,0.002791288,Streak-throated Swallow
2013,0.023743039,0.002398246,Streak-throated Swallow
2014,0.025012424,0.002293885,Streak-throated Swallow
2015,0.028067247,0.002441169,Streak-throated Swallow
2016,0.033756128,0.00287696,Streak-throated Swallow
2017,0.027581546,0.002387657,Streak-throated Swallow
2018,0.031249837,0.00266453,Streak-throated Swallow
before 2000,0.018537494,0.003294655,Streak-throated Woodpecker
2000-2006,0.014960961,0.002706934,Streak-throated Woodpecker
2007-2010,0.031410016,0.004949849,Streak-throated Woodpecker
2011-2012,0.02192729,0.003635876,Streak-throated Woodpecker
2013,0.030829788,0.004661495,Streak-throated Woodpecker
2014,0.028279486,0.003936789,Streak-throated Woodpecker
2015,0.025375941,0.003503623,Streak-throated Woodpecker
2016,0.020830074,0.002829637,Streak-throated Woodpecker
2017,0.022647578,0.003061236,Streak-throated Woodpecker
2018,0.023928548,0.003231381,Streak-throated Woodpecker
before 2000,0.134555122,0.034117862,Streaked Laughingthrush
2000-2006,0.181518972,0.045577444,Streaked Laughingthrush
2007-2010,0.149733822,0.037658221,Streaked Laughingthrush
2011-2012,0.18059307,0.043955469,Streaked Laughingthrush
2013,0.20301271,0.049252723,Streaked Laughingthrush
2014,0.1665527,0.039843004,Streaked Laughingthrush
2015,0.198749515,0.046224824,Streaked Laughingthrush
2016,0.161464058,0.038277538,Streaked Laughingthrush
2017,0.163486537,0.038754411,Streaked Laughingthrush
2018,0.171059291,0.040471207,Streaked Laughingthrush
before 2000,0.203650475,0.067883727,Streaked Spiderhunter
2000-2006,0.125730076,0.046778601,Streaked Spiderhunter
2007-2010,0.14961889,0.053350286,Streaked Spiderhunter
2011-2012,0.152971387,0.054716353,Streaked Spiderhunter
2013,0.100721541,0.037802538,Streaked Spiderhunter
2014,0.14206062,0.048625154,Streaked Spiderhunter
2015,0.110459686,0.039397674,Streaked Spiderhunter
2016,0.136923599,0.047071486,Streaked Spiderhunter
2017,0.154749875,0.052072885,Streaked Spiderhunter
2018,0.144714569,0.04920981,Streaked Spiderhunter
before 2000,0.027755971,0.004994536,Streaked Weaver
2000-2006,0.0200178,0.003822577,Streaked Weaver
2007-2010,0.026425498,0.004550854,Streaked Weaver
2011-2012,0.02704262,0.004806598,Streaked Weaver
2013,0.018167299,0.003065915,Streaked Weaver
2014,0.023301412,0.003584774,Streaked Weaver
2015,0.018794059,0.00279487,Streaked Weaver
2016,0.018124329,0.002635435,Streaked Weaver
2017,0.012365052,0.00184668,Streaked Weaver
2018,0.017003184,0.002478963,Streaked Weaver
before 2000,NA,NA,Striated Babbler
2000-2006,NA,NA,Striated Babbler
2007-2010,NA,NA,Striated Babbler
2011-2012,NA,NA,Striated Babbler
2013,NA,NA,Striated Babbler
2014,0.045413807,0.009434389,Striated Babbler
2015,0.050055328,0.01017779,Striated Babbler
2016,0.060596603,0.012154996,Striated Babbler
2017,0.045845072,0.009159648,Striated Babbler
2018,0.041888111,0.008367462,Striated Babbler
before 2000,NA,NA,Striated Bulbul
2000-2006,NA,NA,Striated Bulbul
2007-2010,NA,NA,Striated Bulbul
2011-2012,NA,NA,Striated Bulbul
2013,NA,NA,Striated Bulbul
2014,0.056783989,0.034706049,Striated Bulbul
2015,0.044795863,0.027760192,Striated Bulbul
2016,0.064870669,0.039478676,Striated Bulbul
2017,0.049133357,0.030083037,Striated Bulbul
2018,0.038889455,0.02380244,Striated Bulbul
before 2000,NA,NA,Striated Grassbird
2000-2006,NA,NA,Striated Grassbird
2007-2010,NA,NA,Striated Grassbird
2011-2012,NA,NA,Striated Grassbird
2013,NA,NA,Striated Grassbird
2014,0.065205751,0.016978965,Striated Grassbird
2015,0.060076483,0.015588511,Striated Grassbird
2016,0.059748127,0.015421552,Striated Grassbird
2017,0.042274862,0.010956539,Striated Grassbird
2018,0.040746114,0.010606177,Striated Grassbird
before 2000,0.034984443,0.003590809,Striated Heron
2000-2006,0.031721015,0.003420666,Striated Heron
2007-2010,0.048572973,0.004747811,Striated Heron
2011-2012,0.032548701,0.003355543,Striated Heron
2013,0.035851384,0.003361801,Striated Heron
2014,0.029764809,0.002599988,Striated Heron
2015,0.028660837,0.002398751,Striated Heron
2016,0.028540587,0.002358303,Striated Heron
2017,0.026570283,0.002194672,Striated Heron
2018,0.028839897,0.002384547,Striated Heron
before 2000,0.035747616,0.009250282,Striated Laughingthrush
2000-2006,0.029879785,0.007599892,Striated Laughingthrush
2007-2010,0.037777221,0.009061233,Striated Laughingthrush
2011-2012,0.039327625,0.009424554,Striated Laughingthrush
2013,0.037647187,0.008899167,Striated Laughingthrush
2014,0.041226219,0.009006773,Striated Laughingthrush
2015,0.038891763,0.008346394,Striated Laughingthrush
2016,0.033182313,0.007136752,Striated Laughingthrush
2017,0.034298977,0.007360723,Striated Laughingthrush
2018,0.033094703,0.00709681,Striated Laughingthrush
before 2000,0.081915698,0.019500167,Striated Prinia
2000-2006,0.050285154,0.012255766,Striated Prinia
2007-2010,0.054341553,0.013037553,Striated Prinia
2011-2012,0.072157415,0.0164678,Striated Prinia
2013,0.050771156,0.011769518,Striated Prinia
2014,0.043586897,0.009562905,Striated Prinia
2015,0.044274989,0.009148134,Striated Prinia
2016,0.05648951,0.011604579,Striated Prinia
2017,0.059508166,0.011980258,Striated Prinia
2018,0.056197754,0.011483677,Striated Prinia
before 2000,NA,NA,Striated Yuhina
2000-2006,NA,NA,Striated Yuhina
2007-2010,NA,NA,Striated Yuhina
2011-2012,NA,NA,Striated Yuhina
2013,NA,NA,Striated Yuhina
2014,NA,NA,Striated Yuhina
2015,NA,NA,Striated Yuhina
2016,NA,NA,Striated Yuhina
2017,NA,NA,Striated Yuhina
2018,NA,NA,Striated Yuhina
before 2000,NA,NA,Stripe-throated Yuhina
2000-2006,NA,NA,Stripe-throated Yuhina
2007-2010,NA,NA,Stripe-throated Yuhina
2011-2012,NA,NA,Stripe-throated Yuhina
2013,NA,NA,Stripe-throated Yuhina
2014,0.084666171,0.154760621,Stripe-throated Yuhina
2015,0.076765411,0.143158867,Stripe-throated Yuhina
2016,0.058322898,0.112755077,Stripe-throated Yuhina
2017,0.074427456,0.139480887,Stripe-throated Yuhina
2018,0.078429122,0.145284749,Stripe-throated Yuhina
before 2000,NA,NA,Striped Laughingthrush
2000-2006,NA,NA,Striped Laughingthrush
2007-2010,NA,NA,Striped Laughingthrush
2011-2012,NA,NA,Striped Laughingthrush
2013,NA,NA,Striped Laughingthrush
2014,NA,NA,Striped Laughingthrush
2015,NA,NA,Striped Laughingthrush
2016,NA,NA,Striped Laughingthrush
2017,NA,NA,Striped Laughingthrush
2018,NA,NA,Striped Laughingthrush
before 2000,0.083545098,0.055484132,Sulphur-bellied Warbler
2000-2006,0.073586819,0.04911354,Sulphur-bellied Warbler
2007-2010,0.060510524,0.040816432,Sulphur-bellied Warbler
2011-2012,0.052919946,0.035528397,Sulphur-bellied Warbler
2013,0.045043359,0.03029062,Sulphur-bellied Warbler
2014,0.034062246,0.022949904,Sulphur-bellied Warbler
2015,0.038503755,0.025920276,Sulphur-bellied Warbler
2016,0.036894634,0.024902386,Sulphur-bellied Warbler
2017,0.032422239,0.021929094,Sulphur-bellied Warbler
2018,0.035127133,0.023561536,Sulphur-bellied Warbler
before 2000,NA,NA,Sultan Tit
2000-2006,NA,NA,Sultan Tit
2007-2010,NA,NA,Sultan Tit
2011-2012,NA,NA,Sultan Tit
2013,NA,NA,Sultan Tit
2014,0.042296487,0.041367096,Sultan Tit
2015,0.046263611,0.045301449,Sultan Tit
2016,0.045939654,0.044927637,Sultan Tit
2017,0.042298088,0.041475319,Sultan Tit
2018,0.050326693,0.049110858,Sultan Tit
before 2000,NA,NA,Swamp Francolin
2000-2006,NA,NA,Swamp Francolin
2007-2010,NA,NA,Swamp Francolin
2011-2012,NA,NA,Swamp Francolin
2013,NA,NA,Swamp Francolin
2014,NA,NA,Swamp Francolin
2015,NA,NA,Swamp Francolin
2016,NA,NA,Swamp Francolin
2017,NA,NA,Swamp Francolin
2018,NA,NA,Swamp Francolin
before 2000,NA,NA,Swamp Prinia
2000-2006,NA,NA,Swamp Prinia
2007-2010,NA,NA,Swamp Prinia
2011-2012,NA,NA,Swamp Prinia
2013,NA,NA,Swamp Prinia
2014,NA,NA,Swamp Prinia
2015,NA,NA,Swamp Prinia
2016,NA,NA,Swamp Prinia
2017,NA,NA,Swamp Prinia
2018,NA,NA,Swamp Prinia
before 2000,NA,NA,Sykes's Short-toed Lark
2000-2006,NA,NA,Sykes's Short-toed Lark
2007-2010,NA,NA,Sykes's Short-toed Lark
2011-2012,NA,NA,Sykes's Short-toed Lark
2013,NA,NA,Sykes's Short-toed Lark
2014,NA,NA,Sykes's Short-toed Lark
2015,NA,NA,Sykes's Short-toed Lark
2016,NA,NA,Sykes's Short-toed Lark
2017,NA,NA,Sykes's Short-toed Lark
2018,NA,NA,Sykes's Short-toed Lark
before 2000,NA,NA,Sykes's Warbler
2000-2006,NA,NA,Sykes's Warbler
2007-2010,NA,NA,Sykes's Warbler
2011-2012,NA,NA,Sykes's Warbler
2013,NA,NA,Sykes's Warbler
2014,0.008460855,0.001434646,Sykes's Warbler
2015,0.009281874,0.001506283,Sykes's Warbler
2016,0.010107774,0.001609115,Sykes's Warbler
2017,0.012425917,0.001971595,Sykes's Warbler
2018,0.013504743,0.002127599,Sykes's Warbler
before 2000,NA,NA,Taiga Flycatcher
2000-2006,NA,NA,Taiga Flycatcher
2007-2010,NA,NA,Taiga Flycatcher
2011-2012,NA,NA,Taiga Flycatcher
2013,NA,NA,Taiga Flycatcher
2014,NA,NA,Taiga Flycatcher
2015,NA,NA,Taiga Flycatcher
2016,NA,NA,Taiga Flycatcher
2017,NA,NA,Taiga Flycatcher
2018,NA,NA,Taiga Flycatcher
before 2000,0.059556289,0.006509945,Tawny-bellied Babbler
2000-2006,0.055358479,0.006475271,Tawny-bellied Babbler
2007-2010,0.044634975,0.005056628,Tawny-bellied Babbler
2011-2012,0.067309108,0.007036445,Tawny-bellied Babbler
2013,0.046503698,0.004803721,Tawny-bellied Babbler
2014,0.035788122,0.003390045,Tawny-bellied Babbler
2015,0.030975453,0.002977796,Tawny-bellied Babbler
2016,0.035704062,0.003261264,Tawny-bellied Babbler
2017,0.039025632,0.003525375,Tawny-bellied Babbler
2018,0.034368471,0.003124725,Tawny-bellied Babbler
before 2000,NA,NA,Tawny-breasted Wren-Babbler
2000-2006,NA,NA,Tawny-breasted Wren-Babbler
2007-2010,NA,NA,Tawny-breasted Wren-Babbler
2011-2012,NA,NA,Tawny-breasted Wren-Babbler
2013,NA,NA,Tawny-breasted Wren-Babbler
2014,NA,NA,Tawny-breasted Wren-Babbler
2015,NA,NA,Tawny-breasted Wren-Babbler
2016,NA,NA,Tawny-breasted Wren-Babbler
2017,NA,NA,Tawny-breasted Wren-Babbler
2018,NA,NA,Tawny-breasted Wren-Babbler
before 2000,0.080585756,0.012181726,Tawny Eagle
2000-2006,0.074522132,0.011513238,Tawny Eagle
2007-2010,0.112390315,0.016335896,Tawny Eagle
2011-2012,0.054983813,0.008481164,Tawny Eagle
2013,0.053997957,0.008164787,Tawny Eagle
2014,0.035055351,0.005156372,Tawny Eagle
2015,0.022168001,0.003242994,Tawny Eagle
2016,0.025197863,0.003620193,Tawny Eagle
2017,0.020497872,0.002955649,Tawny Eagle
2018,0.019954944,0.002888594,Tawny Eagle
before 2000,NA,NA,Tawny Lark
2000-2006,NA,NA,Tawny Lark
2007-2010,NA,NA,Tawny Lark
2011-2012,NA,NA,Tawny Lark
2013,NA,NA,Tawny Lark
2014,0.036257595,0.005831795,Tawny Lark
2015,0.031417832,0.005011975,Tawny Lark
2016,0.034187618,0.005371386,Tawny Lark
2017,0.031489452,0.004983028,Tawny Lark
2018,0.027669718,0.004347136,Tawny Lark
before 2000,0.068828868,0.021343755,Tawny Pipit
2000-2006,0.056322594,0.017320187,Tawny Pipit
2007-2010,0.053026183,0.016029213,Tawny Pipit
2011-2012,0.044845433,0.013695539,Tawny Pipit
2013,0.030213144,0.009270448,Tawny Pipit
2014,0.025926942,0.007843992,Tawny Pipit
2015,0.026193991,0.007905246,Tawny Pipit
2016,0.026054934,0.007823296,Tawny Pipit
2017,0.026782617,0.008010787,Tawny Pipit
2018,0.020817296,0.006239346,Tawny Pipit
before 2000,0.048624855,0.005955558,Temminck's Stint
2000-2006,0.042858323,0.005401961,Temminck's Stint
2007-2010,0.03129537,0.003906899,Temminck's Stint
2011-2012,0.031465363,0.003935221,Temminck's Stint
2013,0.024213935,0.00304821,Temminck's Stint
2014,0.017608628,0.0020967,Temminck's Stint
2015,0.015726212,0.001846782,Temminck's Stint
2016,0.023781447,0.002710834,Temminck's Stint
2017,0.01932171,0.002202958,Temminck's Stint
2018,0.018505705,0.002103206,Temminck's Stint
before 2000,NA,NA,Terek Sandpiper
2000-2006,NA,NA,Terek Sandpiper
2007-2010,NA,NA,Terek Sandpiper
2011-2012,NA,NA,Terek Sandpiper
2013,NA,NA,Terek Sandpiper
2014,0.01686561,0.009800875,Terek Sandpiper
2015,0.015327138,0.008988726,Terek Sandpiper
2016,0.015076105,0.008790315,Terek Sandpiper
2017,0.014546527,0.008521639,Terek Sandpiper
2018,0.009516018,0.00553824,Terek Sandpiper
before 2000,0.068684892,0.006602312,Thick-billed Flowerpecker
2000-2006,0.052276051,0.005296002,Thick-billed Flowerpecker
2007-2010,0.061140635,0.005976358,Thick-billed Flowerpecker
2011-2012,0.050233701,0.004909809,Thick-billed Flowerpecker
2013,0.04664166,0.004377938,Thick-billed Flowerpecker
2014,0.039959874,0.003553602,Thick-billed Flowerpecker
2015,0.040953905,0.003540566,Thick-billed Flowerpecker
2016,0.0405755,0.003498688,Thick-billed Flowerpecker
2017,0.045736668,0.003891021,Thick-billed Flowerpecker
2018,0.031785326,0.002748898,Thick-billed Flowerpecker
before 2000,NA,NA,Thick-billed Warbler
2000-2006,NA,NA,Thick-billed Warbler
2007-2010,NA,NA,Thick-billed Warbler
2011-2012,NA,NA,Thick-billed Warbler
2013,NA,NA,Thick-billed Warbler
2014,0.002884777,0.000720008,Thick-billed Warbler
2015,0.002350865,0.00057927,Thick-billed Warbler
2016,0.002928788,0.000691837,Thick-billed Warbler
2017,0.002533656,0.000609592,Thick-billed Warbler
2018,0.002166358,0.000514635,Thick-billed Warbler
before 2000,NA,NA,Tibetan Blackbird
2000-2006,NA,NA,Tibetan Blackbird
2007-2010,NA,NA,Tibetan Blackbird
2011-2012,NA,NA,Tibetan Blackbird
2013,NA,NA,Tibetan Blackbird
2014,NA,NA,Tibetan Blackbird
2015,NA,NA,Tibetan Blackbird
2016,NA,NA,Tibetan Blackbird
2017,NA,NA,Tibetan Blackbird
2018,NA,NA,Tibetan Blackbird
before 2000,NA,NA,Tibetan Sandgrouse
2000-2006,NA,NA,Tibetan Sandgrouse
2007-2010,NA,NA,Tibetan Sandgrouse
2011-2012,NA,NA,Tibetan Sandgrouse
2013,NA,NA,Tibetan Sandgrouse
2014,NA,NA,Tibetan Sandgrouse
2015,NA,NA,Tibetan Sandgrouse
2016,NA,NA,Tibetan Sandgrouse
2017,NA,NA,Tibetan Sandgrouse
2018,NA,NA,Tibetan Sandgrouse
before 2000,0.067921888,0.006651521,Tickell's Blue Flycatcher
2000-2006,0.06344009,0.006110285,Tickell's Blue Flycatcher
2007-2010,0.063821696,0.005953734,Tickell's Blue Flycatcher
2011-2012,0.059660046,0.005667427,Tickell's Blue Flycatcher
2013,0.064652956,0.005916274,Tickell's Blue Flycatcher
2014,0.058777091,0.00492175,Tickell's Blue Flycatcher
2015,0.054553576,0.004643314,Tickell's Blue Flycatcher
2016,0.059725252,0.004953804,Tickell's Blue Flycatcher
2017,0.070155495,0.005784982,Tickell's Blue Flycatcher
2018,0.063900862,0.005327587,Tickell's Blue Flycatcher
before 2000,0.047519068,0.016909567,Tickell's Leaf Warbler
2000-2006,0.031594102,0.011353121,Tickell's Leaf Warbler
2007-2010,0.031129716,0.011115648,Tickell's Leaf Warbler
2011-2012,0.044008387,0.015592642,Tickell's Leaf Warbler
2013,0.027552886,0.00983166,Tickell's Leaf Warbler
2014,0.020862551,0.007388444,Tickell's Leaf Warbler
2015,0.021119117,0.007459042,Tickell's Leaf Warbler
2016,0.019467628,0.006888374,Tickell's Leaf Warbler
2017,0.018246029,0.00645175,Tickell's Leaf Warbler
2018,0.019865918,0.006998974,Tickell's Leaf Warbler
before 2000,0.030407005,0.013957315,Tickell's Thrush
2000-2006,0.032042315,0.014707322,Tickell's Thrush
2007-2010,0.017512332,0.008316928,Tickell's Thrush
2011-2012,0.031456658,0.014463376,Tickell's Thrush
2013,0.020812627,0.009561509,Tickell's Thrush
2014,0.013098801,0.005901103,Tickell's Thrush
2015,0.015111615,0.006760857,Tickell's Thrush
2016,0.010401936,0.004636038,Tickell's Thrush
2017,0.012054903,0.005313376,Tickell's Thrush
2018,0.015765202,0.00698697,Tickell's Thrush
before 2000,0.06559938,0.034413642,Tree Pipit
2000-2006,0.05674811,0.029867968,Tree Pipit
2007-2010,0.046238582,0.024938839,Tree Pipit
2011-2012,0.042960273,0.023222178,Tree Pipit
2013,0.038075336,0.02054406,Tree Pipit
2014,0.026802293,0.014547103,Tree Pipit
2015,0.027504191,0.015016053,Tree Pipit
2016,0.032269793,0.017511161,Tree Pipit
2017,0.030090951,0.01621948,Tree Pipit
2018,0.032478383,0.017533421,Tree Pipit
before 2000,0.034886394,0.004031854,Tricolored Munia
2000-2006,0.042095915,0.005033612,Tricolored Munia
2007-2010,0.063493196,0.006791963,Tricolored Munia
2011-2012,0.060026891,0.006513027,Tricolored Munia
2013,0.048661993,0.004918156,Tricolored Munia
2014,0.046816475,0.00434171,Tricolored Munia
2015,0.038377301,0.003504417,Tricolored Munia
2016,0.037521023,0.003361029,Tricolored Munia
2017,0.034685336,0.003137736,Tricolored Munia
2018,0.036928214,0.003311747,Tricolored Munia
before 2000,0.073500012,0.046810596,Tufted Duck
2000-2006,0.05021747,0.031098849,Tufted Duck
2007-2010,0.043935568,0.027866304,Tufted Duck
2011-2012,0.039030942,0.024346931,Tufted Duck
2013,0.040654003,0.026045346,Tufted Duck
2014,0.026370293,0.016692427,Tufted Duck
2015,0.023951964,0.015564092,Tufted Duck
2016,0.02252404,0.014701881,Tufted Duck
2017,0.022691923,0.014920203,Tufted Duck
2018,0.023252533,0.015130337,Tufted Duck
before 2000,NA,NA,Tytler's Leaf Warbler
2000-2006,NA,NA,Tytler's Leaf Warbler
2007-2010,NA,NA,Tytler's Leaf Warbler
2011-2012,NA,NA,Tytler's Leaf Warbler
2013,NA,NA,Tytler's Leaf Warbler
2014,0.004401309,0.006287511,Tytler's Leaf Warbler
2015,0.002695599,0.003883715,Tytler's Leaf Warbler
2016,0.005973387,0.008582202,Tytler's Leaf Warbler
2017,0.003747833,0.005365954,Tytler's Leaf Warbler
2018,0.002874912,0.004147269,Tytler's Leaf Warbler
before 2000,0.054559932,0.011046949,Ultramarine Flycatcher
2000-2006,0.031267347,0.007082491,Ultramarine Flycatcher
2007-2010,0.039468605,0.008219698,Ultramarine Flycatcher
2011-2012,0.051937905,0.010478803,Ultramarine Flycatcher
2013,0.055809613,0.010891459,Ultramarine Flycatcher
2014,0.037798219,0.007145005,Ultramarine Flycatcher
2015,0.043313971,0.008021605,Ultramarine Flycatcher
2016,0.036625273,0.006705161,Ultramarine Flycatcher
2017,0.032980562,0.006022911,Ultramarine Flycatcher
2018,0.037642267,0.006865741,Ultramarine Flycatcher
before 2000,NA,NA,Upland Pipit
2000-2006,NA,NA,Upland Pipit
2007-2010,NA,NA,Upland Pipit
2011-2012,NA,NA,Upland Pipit
2013,NA,NA,Upland Pipit
2014,NA,NA,Upland Pipit
2015,NA,NA,Upland Pipit
2016,NA,NA,Upland Pipit
2017,NA,NA,Upland Pipit
2018,NA,NA,Upland Pipit
before 2000,0.183129281,0.095063323,Variable Wheatear
2000-2006,0.227261805,0.115616171,Variable Wheatear
2007-2010,0.111851098,0.057700546,Variable Wheatear
2011-2012,0.136852687,0.070837864,Variable Wheatear
2013,0.113309608,0.05849224,Variable Wheatear
2014,0.10415402,0.053762451,Variable Wheatear
2015,0.090617836,0.046089671,Variable Wheatear
2016,0.089557396,0.045858547,Variable Wheatear
2017,0.079159857,0.040929654,Variable Wheatear
2018,0.07612978,0.039636245,Variable Wheatear
before 2000,NA,NA,Variegated Laughingthrush
2000-2006,NA,NA,Variegated Laughingthrush
2007-2010,NA,NA,Variegated Laughingthrush
2011-2012,NA,NA,Variegated Laughingthrush
2013,NA,NA,Variegated Laughingthrush
2014,0.13202603,0.047194999,Variegated Laughingthrush
2015,0.085327937,0.031221244,Variegated Laughingthrush
2016,0.096423838,0.035185577,Variegated Laughingthrush
2017,0.088946434,0.032492861,Variegated Laughingthrush
2018,0.106663743,0.03855284,Variegated Laughingthrush
before 2000,0.071779189,0.00899298,Velvet-fronted Nuthatch
2000-2006,0.090656074,0.011292137,Velvet-fronted Nuthatch
2007-2010,0.059567049,0.007459726,Velvet-fronted Nuthatch
2011-2012,0.050574927,0.006574301,Velvet-fronted Nuthatch
2013,0.038199882,0.004780375,Velvet-fronted Nuthatch
2014,0.034495786,0.004069363,Velvet-fronted Nuthatch
2015,0.02848934,0.003355618,Velvet-fronted Nuthatch
2016,0.028395263,0.003326816,Velvet-fronted Nuthatch
2017,0.030947324,0.003606822,Velvet-fronted Nuthatch
2018,0.027250218,0.003167932,Velvet-fronted Nuthatch
before 2000,0.061100667,0.007318836,Verditer Flycatcher
2000-2006,0.041414703,0.005257705,Verditer Flycatcher
2007-2010,0.061088628,0.007120936,Verditer Flycatcher
2011-2012,0.082675698,0.009414389,Verditer Flycatcher
2013,0.071154688,0.00784412,Verditer Flycatcher
2014,0.056372189,0.006100837,Verditer Flycatcher
2015,0.056130798,0.006001833,Verditer Flycatcher
2016,0.054384432,0.005800794,Verditer Flycatcher
2017,0.055377808,0.005887357,Verditer Flycatcher
2018,0.061885406,0.006479439,Verditer Flycatcher
before 2000,0.092529608,0.018015374,Vernal Hanging-Parrot
2000-2006,0.091024517,0.017285897,Vernal Hanging-Parrot
2007-2010,0.083951846,0.01587295,Vernal Hanging-Parrot
2011-2012,0.050694697,0.010112755,Vernal Hanging-Parrot
2013,0.062726278,0.011915435,Vernal Hanging-Parrot
2014,0.046224813,0.008764612,Vernal Hanging-Parrot
2015,0.044124745,0.008337746,Vernal Hanging-Parrot
2016,0.044742186,0.008432995,Vernal Hanging-Parrot
2017,0.054202323,0.010113742,Vernal Hanging-Parrot
2018,0.055487141,0.010390731,Vernal Hanging-Parrot
before 2000,NA,NA,Vigors's Sunbird
2000-2006,NA,NA,Vigors's Sunbird
2007-2010,NA,NA,Vigors's Sunbird
2011-2012,NA,NA,Vigors's Sunbird
2013,NA,NA,Vigors's Sunbird
2014,0.05731981,0.016858309,Vigors's Sunbird
2015,0.062407889,0.018007041,Vigors's Sunbird
2016,0.05988891,0.017204595,Vigors's Sunbird
2017,0.058048703,0.016729963,Vigors's Sunbird
2018,0.069789943,0.020059198,Vigors's Sunbird
before 2000,0.058786526,0.093692103,Wallcreeper
2000-2006,0.05988077,0.094814192,Wallcreeper
2007-2010,0.033624869,0.055105334,Wallcreeper
2011-2012,0.062291725,0.09863452,Wallcreeper
2013,0.046388157,0.075485309,Wallcreeper
2014,0.04270338,0.068985876,Wallcreeper
2015,0.029441247,0.049433741,Wallcreeper
2016,0.029254153,0.048269292,Wallcreeper
2017,0.036739764,0.061058869,Wallcreeper
2018,0.045242172,0.073789368,Wallcreeper
before 2000,NA,NA,Ward's Trogon
2000-2006,NA,NA,Ward's Trogon
2007-2010,NA,NA,Ward's Trogon
2011-2012,NA,NA,Ward's Trogon
2013,NA,NA,Ward's Trogon
2014,NA,NA,Ward's Trogon
2015,NA,NA,Ward's Trogon
2016,NA,NA,Ward's Trogon
2017,NA,NA,Ward's Trogon
2018,NA,NA,Ward's Trogon
before 2000,NA,NA,Watercock
2000-2006,NA,NA,Watercock
2007-2010,NA,NA,Watercock
2011-2012,NA,NA,Watercock
2013,NA,NA,Watercock
2014,0.014074131,0.003411752,Watercock
2015,0.009993066,0.002392858,Watercock
2016,0.011173439,0.002635206,Watercock
2017,0.00856018,0.002055028,Watercock
2018,0.007502049,0.001784213,Watercock
before 2000,NA,NA,Wedge-tailed Pigeon
2000-2006,NA,NA,Wedge-tailed Pigeon
2007-2010,NA,NA,Wedge-tailed Pigeon
2011-2012,NA,NA,Wedge-tailed Pigeon
2013,NA,NA,Wedge-tailed Pigeon
2014,0.04639376,0.010696348,Wedge-tailed Pigeon
2015,0.044787794,0.010072123,Wedge-tailed Pigeon
2016,0.049415729,0.010657402,Wedge-tailed Pigeon
2017,0.047857852,0.010498093,Wedge-tailed Pigeon
2018,0.057178863,0.012132339,Wedge-tailed Pigeon
before 2000,NA,NA,West Himalayan Bush Warbler
2000-2006,NA,NA,West Himalayan Bush Warbler
2007-2010,NA,NA,West Himalayan Bush Warbler
2011-2012,NA,NA,West Himalayan Bush Warbler
2013,NA,NA,West Himalayan Bush Warbler
2014,NA,NA,West Himalayan Bush Warbler
2015,NA,NA,West Himalayan Bush Warbler
2016,NA,NA,West Himalayan Bush Warbler
2017,NA,NA,West Himalayan Bush Warbler
2018,NA,NA,West Himalayan Bush Warbler
before 2000,0.049083272,0.013617138,Western Crowned Warbler
2000-2006,0.052223189,0.01453136,Western Crowned Warbler
2007-2010,0.037300045,0.010395779,Western Crowned Warbler
2011-2012,0.028187326,0.007979555,Western Crowned Warbler
2013,0.014519066,0.004081918,Western Crowned Warbler
2014,0.010482241,0.00293081,Western Crowned Warbler
2015,0.011051396,0.00306246,Western Crowned Warbler
2016,0.011568743,0.00319689,Western Crowned Warbler
2017,0.01038187,0.00286215,Western Crowned Warbler
2018,0.013169971,0.003621745,Western Crowned Warbler
before 2000,0.037893222,0.008289748,Western Reef-Heron
2000-2006,0.030616257,0.006777321,Western Reef-Heron
2007-2010,0.041946476,0.009077487,Western Reef-Heron
2011-2012,0.027797317,0.006059568,Western Reef-Heron
2013,0.033913719,0.007202131,Western Reef-Heron
2014,0.025390589,0.005378852,Western Reef-Heron
2015,0.023750939,0.00500734,Western Reef-Heron
2016,0.019980359,0.004247952,Western Reef-Heron
2017,0.021280506,0.004477917,Western Reef-Heron
2018,0.02278253,0.004787475,Western Reef-Heron
before 2000,NA,NA,Western Tragopan
2000-2006,NA,NA,Western Tragopan
2007-2010,NA,NA,Western Tragopan
2011-2012,NA,NA,Western Tragopan
2013,NA,NA,Western Tragopan
2014,NA,NA,Western Tragopan
2015,NA,NA,Western Tragopan
2016,NA,NA,Western Tragopan
2017,NA,NA,Western Tragopan
2018,NA,NA,Western Tragopan
before 2000,0.059782408,0.005275335,Western Yellow Wagtail
2000-2006,0.057201941,0.005060536,Western Yellow Wagtail
2007-2010,0.052471287,0.004652485,Western Yellow Wagtail
